corruption,n_videos,mean_LL,std_LL,mean_LH,std_LH,mean_HL,std_HL,mean_HH,std_HH,prop_LL,prop_LH,prop_HL,prop_HH
contrast,100,0.6225282676016867,0.2732775348340158,1.700553656026159e-05,2.4816472101340955e-05,2.0360753099531577e-05,2.72689039629358e-05,1.979999130366801e-06,5.294349332887217e-06,0.9999409419529731,2.5253431862687674e-05,3.138673325593611e-05,2.4178819082475235e-06
defocus,100,0.8965242843450573,0.30497044961993186,9.910826897604749e-05,3.892255483906905e-05,0.00012116642841830822,5.868179381342274e-05,1.7913042780846215e-06,4.1830137885880755e-07,0.9997348997373525,0.00011952094626930763,0.00014338651474857684,2.19280162957889e-06
gauss,100,0.9099595600451166,0.2214015614397261,0.028773232583800937,0.0039136406043315825,0.028955582514397823,0.004100456679844071,0.02766498071741804,0.003454908385077461,0.910731971082429,0.03003537952471843,0.030231751862108924,0.029000897530743832
h265_abr,100,0.9626426952728729,0.3168582210554639,0.0013269544272192177,0.0016668779823011323,0.0016962258066138287,0.0020756268726572864,0.00016007707852653478,0.00048396590554108514,0.9968862039604336,0.0012697551218953972,0.0017177451388054486,0.0001262957788655846
impulse,100,0.9156303787078311,0.21645943484650473,0.03113281651055424,0.002229945404528202,0.03130048089084072,0.0021640102715277565,0.03011173948130207,0.0016876781313536918,0.9046269577126335,0.03204462369080661,0.032224789842570815,0.03110362875398904
jpeg,100,0.9386592023921786,0.3107215238744162,0.001667235176521703,0.0025183315534659497,0.0020180645159343685,0.002482967454415821,8.087253945622437e-05,0.000235123103624679,0.9963055329605898,0.0015875323737206252,0.002041413464288013,6.552120140166956e-05
motion,100,0.8624349408909917,0.3267893378692347,0.00011026778081299013,4.7333133805228544e-05,0.00043985554462194656,0.00026221344378375943,1.0330608018599767e-05,2.207705296982832e-05,0.9793540727471388,0.00013168511227279882,0.0005042067761850042,1.0035364403518724e-05
pepper,100,0.2809011002964124,0.08939214438319605,0.022131051256471204,0.007046257752499816,0.022207383288806146,0.0070317882473796365,0.02160103450595794,0.0068334842226244995,0.8097548027761299,0.06381619007807462,0.06407633931949262,0.06235266782630299
rain,100,0.7544807933168082,0.2819254253655568,0.0014464588400314986,0.0006682435222581654,0.0005362897347612847,0.0007204354822883286,7.961176009697249e-05,0.00020526401759004715,0.9870721011973492,0.0021858114035567906,0.0006596614317139577,8.242596738005158e-05
salt,100,2.0296342908295673,0.22561126067840961,0.03977009051830837,0.008603322336027784,0.03989872112105903,0.008584831216727274,0.03933018776885854,0.008799999969691155,0.943266432861996,0.01895517674621698,0.01901713032162211,0.018761260070164914
shot,100,0.8903611426180709,0.2629042949454893,0.009625447558427794,0.003272535693743735,0.009932139055450005,0.003659119728109144,0.007869006134370103,0.0016765762746036891,0.9690749918754226,0.010774536047413939,0.011166744491127357,0.008983727586036088
zoom,100,0.9193686253635353,0.26650957541569825,0.0002529800663190599,0.0002146649880031413,0.00029053132226568274,0.00022115169641940034,1.4170668577837766e-05,3.441435144630208e-05,0.9994149001979903,0.0002654045252136354,0.00030673130871647375,1.2963968079684734e-05
